               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12132,            0.042938,            0.031376,           0.0068571,            0.071429,           0.0047995,          0.00091763,            0.069736,            0.037197,            0.019261,              0.0964,              0.0004,              0.0004
                   1,             0.11792,            0.047021,            0.030412,                   0,                   0,                   0,                   0,            0.066946,            0.038281,            0.019045,            0.091864,          0.00086436,          0.00086436
                   2,             0.10266,            0.047612,            0.027888,            0.003012,            0.035714,           0.0018944,          0.00037889,            0.065759,            0.037787,            0.018513,            0.087289,           0.0012891,           0.0012891
                   3,             0.10402,            0.050141,            0.029273,           0.0083118,             0.17857,            0.014869,           0.0047596,            0.059906,            0.037597,            0.018539,            0.082674,           0.0016743,           0.0016743
                   4,            0.098708,            0.051186,            0.028471,            0.010163,             0.21429,            0.014392,           0.0024774,            0.057038,            0.037069,            0.018367,             0.07802,           0.0020198,           0.0020198
                   5,            0.095417,            0.051598,            0.027539,            0.010402,             0.10714,           0.0065999,           0.0014745,            0.057259,            0.035649,            0.018712,            0.073326,           0.0023258,           0.0023258
                   6,            0.093392,            0.048229,            0.027823,            0.013654,             0.14286,            0.067489,            0.016084,            0.052053,            0.037984,            0.017662,            0.068592,           0.0025922,           0.0025922
                   7,            0.089991,            0.061671,            0.027693,              0.0136,             0.14286,             0.07441,            0.020896,            0.052418,            0.035541,            0.017698,            0.063819,           0.0028189,           0.0028189
                   8,             0.08068,             0.04363,            0.025137,            0.023487,             0.14286,             0.11448,            0.039526,            0.051496,            0.034005,            0.017738,            0.059006,           0.0030061,           0.0030061
                   9,            0.087869,            0.050983,            0.027667,             0.12442,             0.10714,            0.090654,            0.045206,            0.047684,            0.033863,            0.018304,            0.054154,           0.0031536,           0.0031536
                  10,            0.083348,            0.052446,            0.026105,             0.28941,             0.10714,            0.098452,            0.049201,            0.047583,            0.031763,            0.018382,            0.049262,           0.0032616,           0.0032616
                  11,            0.079108,            0.050257,            0.027379,             0.29844,            0.071429,            0.068419,            0.036662,            0.047216,            0.029846,            0.018273,             0.04433,             0.00333,             0.00333
                  12,            0.079718,            0.048345,            0.025727,             0.15412,             0.28571,             0.15719,            0.068158,            0.050262,            0.027401,            0.018501,            0.039359,           0.0033587,           0.0033587
                  13,             0.07258,            0.042009,            0.024513,             0.15412,             0.28571,             0.15719,            0.068158,            0.050262,            0.027401,            0.018501,            0.034348,           0.0033479,           0.0033479
                  14,            0.076516,            0.047861,            0.023515,             0.11662,                0.25,            0.099634,            0.043707,            0.046662,            0.029686,            0.018609,            0.029297,           0.0032974,           0.0032974
                  15,            0.079382,            0.047375,             0.02461,             0.26099,             0.31299,             0.16724,            0.068302,            0.048292,            0.030238,            0.017884,            0.024207,           0.0032074,           0.0032074
                  16,            0.075885,            0.042361,            0.022009,             0.26769,             0.14286,            0.082642,            0.053547,            0.043316,            0.033943,            0.017981,            0.019078,           0.0030778,           0.0030778
                  17,            0.073784,            0.043826,            0.024681,             0.27175,             0.23576,             0.12432,            0.064047,            0.043316,            0.033943,            0.017981,            0.013909,           0.0029085,           0.0029085
                  18,            0.073035,            0.044241,            0.023711,             0.67321,             0.17542,             0.14332,            0.072723,            0.041251,            0.037657,            0.018025,           0.0086997,           0.0026997,           0.0026997
                  19,              0.0703,             0.04087,            0.025329,             0.30028,              0.1975,             0.11753,            0.054331,            0.051262,            0.032768,            0.017547,           0.0034512,           0.0024512,           0.0024512
                  20,            0.070575,            0.047201,            0.025098,             0.29474,             0.23479,             0.13836,            0.059914,            0.051262,            0.032768,            0.017547,             0.00208,             0.00208,             0.00208
                  21,            0.071678,            0.045659,            0.022199,             0.64331,             0.10714,             0.10156,            0.060839,            0.043135,            0.034415,            0.017485,             0.00208,             0.00208,             0.00208
                  22,            0.064171,            0.036263,            0.021416,             0.28938,             0.10714,              0.1082,            0.048358,             0.03982,            0.035946,            0.017475,            0.001684,            0.001684,            0.001684
                  23,            0.070173,            0.042775,            0.027304,             0.20253,             0.21429,             0.14577,            0.063444,             0.03982,            0.035946,            0.017475,            0.001288,            0.001288,            0.001288
                  24,            0.059506,            0.038702,            0.022572,             0.47987,             0.17857,             0.15601,            0.066382,            0.035834,            0.035713,            0.017441,            0.000892,            0.000892,            0.000892
